可可西里,2004,8.9,273524
萤火虫之墓,1988,8.7,380018
无间道2,2003,8.7,413904
牯岭街少年杀人事件,1991,8.9,254602
虎口脱险,1966,8.9,229135
源代码,2011,8.5,769185
人工智能,2001,8.7,404595
初恋这件小事,2010,8.5,918849
背靠背，脸对脸,1994,9.5,103887
海边的曼彻斯特,2016,8.6,459618
东京教父,2003,9.0,187915
小丑,2019,8.7,916839
罗生门,1950,8.8,284309
终结者2：审判日,1991,8.8,312946
青蛇,1993,8.6,476007
奇迹男孩,2017,8.6,514167
二十二,2015,8.7,273477
波西米亚狂想曲,2018,8.6,544208
房间,2015,8.8,346668
疯狂的麦克斯4：狂暴之路,2015,8.6,479813
新龙门客栈,1992,8.6,402798
无耻混蛋,2009,8.6,432652
魂断蓝桥,1940,8.8,253507
血钻,2006,8.7,343302
千钧一发,1997,8.8,259148
步履不停,2008,8.8,251819
黑客帝国2：重装上阵,2003,8.7,372062
彗星来的那一夜,2013,8.5,506824
战争之王,2005,8.7,331501
崖上的波妞,2008,8.6,434686
心灵奇旅,2020,8.7,861316
爱乐之城,2016,8.4,792646
谍影重重2,2004,8.7,323525
燃情岁月,1994,8.8,264781
阿飞正传,1990,8.5,461202
海洋,2009,9.1,149298
谍影重重,2002,8.6,388847
再次出发之纽约遇见你,2013,8.6,393438
火星救援,2015,8.5,649585
末路狂花,1991,8.9,212226
穿越时空的少女,2006,8.6,353534
朗读者,2008,8.6,426551
香水,2006,8.5,506826
地球上的星星,2007,8.9,188782
我爱你,2011,9.0,151499
完美陌生人,2016,8.5,489145
千年女优,2001,8.8,226932
驴得水,2016,8.3,849256
聚焦,2015,8.8,253758
浪潮,2008,8.7,254026
